file_id,offset_hex,byte_length,jp_text,en_text,ru_text,de_text
ID00013,00001295,45,「あ、内魔。なにやってんだ？」,"Oh, Naitama. What are you doing?",,
ID00013,000014b2,20,「@str_000先輩」,Senior @str_000-kun.,,
ID00013,00001c1d,24,「録画…してた」,I was recording...,,
ID00013,00001c63,18,「なにを？」,What?,,
ID00013,00001d07,36,「学校の階段。…見る？」,The school stairs... wanna see?,,
ID00013,00001eee,18,「お、おう」,Y-Yeah.,,
ID00013,00002136,39,「…階段しか映ってないぞ」,...Only the stairs show up.,,
ID00013,000022f0,24,「よく…見て…」,Watch it well...,,
ID00013,00002336,12,「ん…」,Hmm...,,
ID00013,000025c7,18,「１段多い」,One too many.,,
ID00013,00002631,42,「うわああああああああっ！」,Uwaaaaaaaaahhh!,,
ID00013,000028c1,30,「な～～ん～～てね」,Just kidding~,,
ID00013,00002a72,51,「冗談かよ！　ビックリするだろ！」,"That's not a joke! You'll be surprised, right?",,
ID00013,00002c38,27,「フフフフフフ…」,Hehehehe...,,
ID00013,00002cb8,24,「ほら、返すぞ」,"Here, I'll give it back.",,
ID00013,00002e4e,51,「階段が１段多い時は…気をつけて。,When there's one extra step... be careful.,,
ID00013,00002e90,45,　ヤミツミに…連れて行かれる」,to Yami Mitsumi... I'm being taken there.,,
ID00013,00002eeb,21,「ヤミツミ？」,Yami Mitsumi?,,
ID00013,000030ed,51,「闇の光海でヤミツミ。フフフフ…」,In the dark of Mitsumi... Yami Mitsumi. Heheheh...,,
ID00013,0000314e,54,「怖ェこと言うなって。それじゃあな」,Don't say scary things like that. See ya.,,
ID00013,000031e9,15,「また…」,Later...,,
ID00014,00001207,12,「あ…」,...,,
ID00014,000013f8,30,「海を見てるのか？」,You're looking at the sea?,,
ID00014,00001494,12,「あ…」,...,,
ID00014,00001676,63,「そう…。夏は…海から…霊が還ってくる…」,Yeah... In summer... spirits return from the sea...,,
ID00014,00001740,12,「は？」,Huh?,,
ID00014,00001a7e,63,「先祖の霊…。生前が忘れられず…彷徨う霊。,"Ancestors' spirits... Lost, wandering souls.",,
ID00014,00001acc,36,　私のスマホには…映る」,They show up on my phone too.,,
ID00014,00001e34,33,「怖ェこと言うなって」,Don't say such scary stuff.,,
ID00014,00001fe8,45,「一緒に映るだけで…害はない」,It's harmless as long as we appear together.,,
ID00014,00002043,57,「いやいや、害がないってことないだろ」,"No, it's not harmless.",,
ID00014,0000220f,48,「気をつけなければならないのは…,We have to be careful of...,,
