file_id,offset_hex,byte_length,jp_text,en_text,ru_text,de_text
ID00001,00001585,30,「ぶろ君、決めたよ」,"Bro-kun, I've decided!",,
ID00001,000015d1,12,「え？」,What?,,
ID00001,00002095,45,「私、プロのモデルになるっ！」,I'm gonna be a pro model!,,
ID00001,0000238e,39,「ほら、この間、タウン誌に,My pic's in the town mag.,,
ID00001,000023c4,42,　私の写真が載ったじゃない？,"a while back, right?",,
ID00001,000023fd,51,　それを見て、スカウトが来たのよ」,A scout saw it and came to me.,,
ID00001,00002aaa,48,「５０００年に１人の逸材だって。,They said I'm one in 5000.,,
ID00001,00002ae9,36,　おだてるの上手よね～」,"Smooth talkers, huh~",,
ID00001,00002dd6,60,「ま、スタイルバツグンだし、仕方ないか」,"Well, my style's top-notch, I guess.",,
ID00001,00003284,63,「どう？　弟ながら見とれちゃう？　フフッ」,Can't help staring?,,
ID00001,0000387e,60,「甘い言葉に乗せられるわけじゃないけど、,"I'm not easily swayed by sweet talk, but...",,
ID00001,000038c9,36,　チャレンジしてみたい」,I wanna give it a shot.,,
ID00001,00003bb6,51,「どうせ目指すならトップモデルよ！,"If I'm gonna aim, it's for top model!",,
ID00001,00003bf8,48,　世界中のファッション誌の表紙を,"Well, I'll grace the covers of fashion magazines",,
ID00001,00003c37,24,　飾ってやる！」,all around the world!,,
ID00001,0000406f,54,「ぶろ君を私の付き人にしてあげるね。,I'll make you my personal assistant.,,
ID00001,000040b4,42,　芸能人にいっぱい会えるし、,"You'll get to meet a bunch of celebs,",,
ID00001,000040ed,36,　世界中を旅できるわよ」,And travel all over the world too.,,
ID00001,00004650,63,「その代わり、私のこといろいろ助けてよね。,"In exchange, you gotta help me out in lots of ways.",,
ID00001,0000469e,27,　これから、きっと,"From now on, tough.",,
ID00001,000046c8,45,　すっごく大変になるんだから」,So you have to support me.,,
ID00001,00004d6f,63,「やるぞ～～っ！　天下取ってやる～～っ！」,I'm gonna do it~! I'll take over the world~!,,
ID00001,00004fa2,45,「も～っ、なにやってんのよっ！,"Mou~, what are you doing?!",,
ID00001,00004fde,33,　起きろ～～～～っ！」,Wake up~~~!,,
ID00001,0000502d,15,「うぅ…」,Ugh...,,
ID00001,0000580a,39,「起・き・な・さ～～い！」,Wake up~~~!,,
ID00001,0000589f,39,「はっ！　俺、寝てた！？」,Huh! I was sleeping!?,,
ID00001,00005a48,51,「…気持ちよさそうにぐっすりとね」,You were sleeping so soundly...,,
ID00001,00005bfd,48,（夢…か。懐かしい夢だったな…）,(It was a dream... A nostalgic one...),,
ID00001,00005da2,63,「私の宿題が、ちっとも進んでないじゃない。,My homework isn't getting done at all.,,
ID00001,00005df0,39,　さっさと終わらせてよね」,Finish it already.,,
ID00001,00005f99,45,「無茶言うなよ。初等部のころは,When I was in elementary.,,
ID00001,00005fd5,57,　なんとかなったけど、高３の問題なんか,I managed somehow...,,
ID00001,0000601d,21,　わかるかよ」,You don't get it.,,
ID00001,000061c3,48,「予習よ、予習。うれしいでしょ？,"It's a preview, a preview. Aren't you happy?",,
ID00001,00006202,36,　来年の勉強が今できて」,Getting next year's work done now?,,
ID00001,0000661e,60,「うれしくねぇって。予習には早すぎだろ」,Not really. It's too early for previews.,,
ID00001,000067cf,51,「私は今、写真集の撮影で忙しいの」,I'm busy with photo shoots right now.,,
ID00001,00006ab2,49,「『End of Summer』ってタイトルでね、,The title is 'End of Summer'.,,
ID00001,00006af2,63,　私の高校最後の夏を、実際に通ってる学校で,Capturing my last summer at school.,,
ID00001,00006b40,30,　撮ろうって企画よ」,Let's do a project.,,
ID00001,00006f56,36,「へ～っ、面白そうだな」,"Huh, sounds cool",,
ID00001,000070ef,42,「でしょう？　私のこれまでの,Right? I want to put together,,
ID00001,00007128,36,　集大成にするつもりよ」,Everything I've done so far.,,
ID00001,000072ce,42,「そっか…じゃあ、宿題なんて,I see... So no time for homework then?,,
ID00001,00007307,27,　やる暇ないよな」,"Nope, not enough time.",,
ID00001,000074c9,24,「そういうこと」,That's it.,,
ID00001,00007656,51,「いつものように、参考書よく見て、,"Like always, look over your textbooks,",,
ID00001,00007698,48,　適当に答えを書き込んどいてよ」,Just write down some answers随便地。,,
ID00001,00007991,24,「よろしくね～」,Take care of yourself~,,
ID00001,00007d86,51,（やれやれ…ユイ姉をサポートして、,"(Sigh... Supporting Onee-chan all this time,)",,
ID00001,00007dc8,39,　もう…１、２……９年か）,It's already... nine years.,,
ID00001,00007e1d,54,（小さいころの俺って、ユイ姉の夢が、,"(When I was little, it was Onee-chan’s dream.)",,
ID00001,00007e62,36,　自分の夢だったんだな）,"Back then, it was my dream too.",,
ID00002,000019d6,57,「もーっ、大丈夫？　きれいに録ってよ」,"Come on, are you okay? Record it cleanly.",,
ID00002,00002030,45,「この間、教えてもらったこと、,"What I learned the other day,",,
ID00002,0000206c,54,　ちゃんと出来てるか、モデルの先生に,so make sure you're doing it right.,,
ID00002,000020b1,45,　送って、見てもらうんだから」,She'll check it for me.,,
ID00002,0000261d,48,「え？　なんでブルマなんだって？,Huh? Why are you wearing a bikini briefs?,,
ID00002,0000265c,60,　買ったのよ、体操服と同じ色のを探して」,I bought them same color.,,
ID00002,00002bd7,48,「ブルマで撮影って多いんだって。,They say it's common to shoot in bikini briefs.,,
ID00002,00002c16,60,　恥ずかしいなんて言ってらんないでしょ？,You can't be saying it's embarrassing!,,
ID00002,00002c61,27,　慣れとかなきゃ」,You gotta get used to it.,,
ID00002,0000330f,30,「さ、録ってみてよ」,"S-so, let's record",,
ID00002,000035c4,24,「使い方わかる？,Do you know how?,,
ID00002,000035eb,45,　パパのビデオ、壊さないでよ。,Don't break dad's camera.,,
ID00002,00003627,39,　手ブレとか嫌だからね！」,I hate shaky hands!,,
ID00002,00003a87,30,「じゃあ、やるわよ」,"Okay then, I'll do it.",,
ID00002,000054de,24,（懐かしいな…）,(It feels familiar...),,
